date, pm25, pm10, o3, no2, so2, co
2023/11/2, 164, 99, 26, 4, , 12
2023/11/3, 165, 102, 24, 3, 1, 11
2023/11/4, 169, 92, 26, 2, 1, 11
2023/11/5, 168, 97, 21, 4, 1, 13
2023/11/6, 173, 88, 23, 4, , 13
2023/11/7, 165, 82, 21, 4, 1, 12
2023/11/8, 161, 71, 20, 2, , 8
2023/11/9, 156, 72, 20, 2, , 8
2023/11/10, 156, 72, 1, 2, 1, 8
2023/11/11, 164, , , , , 
2023/11/19, 160, 50, 13, 2, 1, 3
2023/11/20, 143, , , , , 
2023/11/22, 148, 66, 24, 2, 1, 3
2023/11/23, 137, 71, 1, 2, , 3
2023/11/24, 152, 87, , 3, , 3
2023/11/25, 161, 59, 9, 1, 1, 3
2023/11/26, 125, , , , , 
2023/11/28, 83, 37, 12, , , 3
2023/11/29, 78, 45, 15, , , 3
2023/11/30, 93, 42, 15, , , 3
2023/12/1, 84, 59, 16, , , 3
2023/12/2, 106, 68, 20, , , 3
2023/12/3, 125, 71, 17, 3, , 3
2023/12/4, 127, 65, 18, 3, , 3
2023/12/5, 118, , , , , 
2023/12/7, 116, 59, 5, 4, 1, 3
2023/12/8, 101, 61, 14, 4, 1, 3
2023/12/9, 106, , , , , 
2023/12/11, 157, 68, 19, 4, , 3
2023/12/12, 145, , , , , 
2023/12/14, 142, 80, 7, 5, , 3
2023/12/15, 155, 78, 22, 5, , 3
2023/12/16, 151, 78, 21, 4, , 3
2023/12/17, 154, 59, 26, 4, , 3
2023/12/18, 125, 59, 19, 4, 1, 3
2023/12/19, 125, 59, 21, 5, 1, 3
2023/12/20, 123, 72, 23, 6, 2, 3
2023/12/21, 150, 73, 21, 5, 2, 3
2023/12/22, 150, 82, 33, 4, 3, 3
2023/12/23, 160, 83, 31, 4, 2, 3
2023/12/24, 158, 91, 34, 3, 1, 3
2023/12/25, 166, 99, 23, 3, , 3
2023/12/26, 168, 73, 26, 2, , 3
2023/12/27, 140, 74, 17, 3, 1, 3
2023/12/28, 139, 85, 22, 2, , 3
2023/12/29, 151, 67, 6, 2, , 3
2023/12/30, 136, 61, 24, 2, , 3
2023/12/31, 120, 71, 23, 2, , 3
2023/7/1, 22, 19, 3, 2, 1, 3
2023/7/2, 33, 28, 7, 2, 1, 3
2023/7/3, 44, 26, 14, 2, , 2
2023/7/4, 43, 26, 10, 2, , 3
2023/7/5, 44, , , , , 
2023/7/7, 16, 26, 6, 2, , 2
2023/7/8, 44, 24, 7, 2, , 2
2023/7/9, 41, 46, 6, 2, , 3
2023/7/10, 72, 46, 6, 2, , 2
2023/7/11, 69, 29, 5, 2, , 2
2023/7/12, 50, 40, 4, 2, , 2
2023/7/13, 62, 30, 6, 2, , 3
2023/7/14, 51, 24, 4, 2, , 2
2023/7/15, 41, 25, 6, 2, 1, 2
2023/7/16, 43, 26, 5, 2, , 3
2023/7/17, 44, 20, 8, 2, , 3
2023/7/18, 37, 9, 5, 3, 1, 4
2023/7/19, 17, 13, 7, 4, , 3
2023/7/20, 23, 21, 6, 4, , 2
2023/7/21, 38, 13, 5, 4, , 2
2023/7/22, 24, 11, 3, 4, , 2
